# HU,Density
-9.873963012695312500e+02,1.200000047683715820e+00
-1.065454940795898438e+02,9.600000000000000000e+02
-3.824908828735351562e+01,9.900000000000000000e+02
5.390607070922851562e+01,1.060000000000000000e+03
3.367982177734375000e+02,1.160000000000000000e+03
1.356694946289062500e+03,1.530000000000000000e+03
1.699363037109375000e+03,1.660000000000000000e+03
2.136405273437500000e+03,1.820000000000000000e+03
2.544094238281250000e+03,1.990000000000000000e+03
2.614799804687500000e+03,2.150000000000000000e+03
