# HU, density [kg/m3]
-9.503370322788367730e+02,1.199999999999999956e+00
-7.588758542740337134e+02,2.050000000000000000e+02
-4.648147123204554987e+02,5.070000000000000000e+02
-6.318518346570069610e+01,9.600000000000000000e+02
-3.348005007079694195e+01,9.900000000000000000e+02
3.080867781546700712e+01,1.060000000000000000e+03
1.961249707743795341e+02,1.160000000000000000e+03
8.082466311901807785e+02,1.530000000000000000e+03
1.007195465676464551e+03,1.660000000000000000e+03
1.227730693527560788e+03,1.820000000000000000e+03
1.392058009591214841e+03,1.990000000000000000e+03
1.631356514879698807e+03,2.150000000000000000e+03
